brand,model_name,price,price_num,head_size,head_size_in2,length,length_in,weight,weight_g,tension,tension_low_lbs,tension_high_lbs,tension_mid_lbs,balance,balance_pts,beam_width,beam_mm_avg,composition,flex,flex_ra,grip_type,power_lv,power_lv_num,string_pa,swing_sp,swing_sp_num,swing_we,swing_weight
Babolat,Pure Drive,$229,229.0,100 sq. in MP,100.0,27.5 inches,27.5,Strung — 11.2 oz / 318 g Unstrung — 10.6 oz / 300 g,318.0,50-59 Pounds,50.0,59.0,54.5,6 Pts Head ight,6.0,23/26/23mm,23.0,HTR / Graphite,70,70.0,Syntec Pro,Medium,2.0,"16 Mains / 19 CrossesMains Skip: 7T, 9T, 7H, 9HTwo PieceNo Shared Holes","Fast, Long Swing",3.0,320,320.0
Wilson,Blade 98 (16x19),$159,159.0,98 sq. in MP,98.0,27 inches,27.0,Strung — 11.3 oz / 320 g Unstrung — 10.7 oz / 304 g,320.0,50-60 Pounds,50.0,60.0,55.0,3 Pts Head Light,-3.0,20.6 mm,20.6,Braided Graphite / Basalt,66,66.0,Wilson Sublime,Low,1.0,"16 Mains / 19 CrossesMains Skip: 8T, 8HTwo PieceNo Shared Holes","Fast, Long Swing",3.0,325,325.0
Yonex,VCORE 100,$239,239.0,100 sq. in MP,100.0,27 inches,27.0,Strung — 11.2 oz / 318 g Unstrung — 10.6 oz / 300 g,318.0,45-60 Pounds,45.0,60.0,52.5,4 Pts Head Light,-4.0,24/25/22mm,22.0,2G-NAMD Flex Force / Graphite / VDM,66,66.0,Yonex Synthetic,Medium,2.0,"16 Mains / 19 CrossesMains Skip: 8T, 8HTwo PieceNo Shared Holes","Medium, Moderate Swing",2.0,324,324.0
Yonex,Yonex 100 (285g),$239,239.0,100 sq. in MP,100.0,27 inches,27.0,Strung — 10.6 oz / 301 g Unstrung — 10.1 oz / 285 g,301.0,45-60 Pounds,45.0,60.0,52.5,3 Pts Head Light,-3.0,23.5/26/22mm,22.0,HM Graphite / M40X with VDM HM Graphite / M40X / VDM,68,68.0,Yonex Synthetic,Medium,2.0,"16 Mains / 19 CrossesMains Skip: 8T,8HTwo PieceNo Shared Holes","Medium, Moderate Swing",2.0,311,311.0
Head,Gravity MP,$229.95,229.95,100 sq. in MP,100.0,27 inches,27.0,Strung — 11.0 oz / 312 g Unstrung — 10.4 oz / 295 g,312.0,48-57 Pounds,48.0,57.0,52.5,3 Pts Head Light,-3.0,22mm,22.0,Graphene 360+ / Graphite,61,61.0,Head Hydrosorb Pro,Low,1.0,"16 Mains / 20 CrossesMains Skip: 7T, 9T, 7H, 9HTwo PieceNo Shared Holes","Fast, Long Swing",3.0,320,320.0
Babolat,Pure Drive Team,$209,209.0,100 sq. in MP,100.0,27 inches,27.0,Strung — 10.6 oz / 301 g Unstrung — 10.1 oz / 286 g,301.0,50-59 Pounds,50.0,59.0,54.5,4 Pts Head Light,-4.0,23/26/23mm,23.0,HTR / Graphite,70,70.0,Syntec Pro,Medium,2.0,"16 Mains / 19 CrossesMains Skip: 7T, 9T, 7H, 9HTwo PieceNo Shared Holes","Medium, Moderate Swing",2.0,316,316.0
Wilson,Pro Staff 97L,$219,219.0,97 sq. in MP,97.0,27 inches,27.0,Strung — 10.8 oz / 306 g Unstrung — 10.2 oz / 290 g,306.0,50-60 Pounds,50.0,60.0,55.0,3 Pts Head Light,-3.0,23mm,23.0,Braided Graphite / Kevlar,70,70.0,Wilson Pro Performance,Medium,2.0,"16 Mains / 19 CrossesMains Skip: 7T, 9T, 7H, 9HTwo PieceNo Shared Holes","Fast, Long Swing",3.0,315,315.0
Head,Head 104 (270g),$189.95,189.95,104 sq. in MP,104.0,27 inches,27.0,Strung — 10.1 oz / 286 g Unstrung — 9.5 oz / 270 g,286.0,52-62 Pounds,52.0,62.0,57.0,Even Balance,0.0,24mm,24.0,Graphene 360+ / Graphite,60,60.0,Head Hydrosorb Pro,High,3.0,"16 Mains / 20 CrossesMains Skip: 7T, 9T, 7H, 9HTwo PieceNo Shared Holes","Slow, Compact Swing",1.0,300,300.0
Dunlop,Dunlop 95 (315g),$219.99,219.99,95 sq. in MP,95.0,27 inches,27.0,Strung — 11.7 oz / 332 g Unstrung — 11.1 oz / 315 g,332.0,45-65 Pounds,45.0,65.0,55.0,7 Pts Head Light,-7.0,20.5mm,20.5,Sonic Core with Infinergy / Graphite,63,63.0,Leather,Low,1.0,"18 mains / 20 CrossesMains Skip: 8T, 10T, 8H, 10HTwo PieceNo Shared Holes","Fast, Long Swing",3.0,318,318.0
Wilson,Ultra 100,$199,199.0,100 sq. in MP,100.0,27 inches,27.0,Strung — 11.1 oz / 315 g Unstrung — 10.6 oz / 300 g,315.0,48-57 Pounds,48.0,57.0,52.5,4 Pts Head Light,-4.0,24/26/23mm,23.0,High Performance Carbon Fiber,72,72.0,Wilson Pro Performance,Medium,2.0,"16 Mains / 19 CrossesMains Skip: 8T, 8HTwo PieceNo Shared Holes","Medium, Moderate Swing",2.0,310,310.0
Wilson,Ultra 100UL,$139,139.0,100 sq. in MP,100.0,27 inches,27.0,Strung — 10.5 oz / 298 g Unstrung — 9.9 oz / 281 g,298.0,50-60 Pounds,50.0,60.0,55.0,3 Pts Head Light,-3.0,23/25/23mm,23.0,High Performance Carbon Fiber,69,69.0,Sublime,Medium,2.0,"18 Mains / 16 CrossesMains Skip: 9T, 9HTwo PieceShared Holes: 7T, 8T","Medium, Moderate Swing",2.0,315,315.0
Head,Head 107 (270g),$179.95,179.95,107 sq. in OS,107.0,27.2 inches,27.2,Strung — 10.0 oz / 283 g Unstrung — 9.5 oz / 270 g,283.0,48-57 Pounds,48.0,57.0,52.5,1 Pts Head Heavy,1.0,23/26/23mm,23.0,Graphene 360+ / Graphite,62,62.0,Head Hydrosob Pro,Medium,2.0,"16 Mains / 19 CrossesMains Skip: 8T, 8HTwo PieceNo Shared Holes","Medium, Moderate Swing",2.0,305,305.0
Yonex,Yonex 100 (280g),$229,229.0,100 sq. in MP,100.0,27 inches,27.0,Strung — 10.5 oz / 298 g Unstrung — 9.9 oz / 280 g,298.0,45-60 Pounds,45.0,60.0,52.5,2 Pts Head Light,-2.0,24/25/22mm,22.0,2G-NAMD Flex Force / Graphite / VDM,66,66.0,Yonex Synthetic,Medium,2.0,"16 Mains / 19 CrossesMains Skip: 8T, 8HTwo PieceNo Shared Holes","Medium, Moderate Swing",2.0,306,306.0
Yonex,EZONE 98,$239,239.0,98 sq. in MP,98.0,27 inches,27.0,Strung — 11.4 oz / 323 g Unstrung — 10.8 oz / 305 g,323.0,45-60 Pounds,45.0,60.0,52.5,6 Pts Head Light,-6.0,22.5/23/21mm,21.0,2G-NAMD Flex Force / Graphite / VDM,65,65.0,Yonex Synthetic,Low,1.0,"16 Mains / 19 CrossesMains Skip: 8T, 8HTwo PieceNo Shared Holes","Fast, Long Swing",3.0,325,325.0
Yonex,Yonex 98 (285g),$229,229.0,98 sq. in MP,98.0,27 inches,27.0,Strung — 10.8 oz / 306 g Unstrung — 10.1 oz / 285 g,306.0,45-60 Pounds,45.0,60.0,52.5,6 Pts Head Light,-6.0,22.5/23/21mm,21.0,2G-NAMD Flex Force / Graphite / VDM,65,65.0,Yonex Synthetic,Low,1.0,"16 Mains / 19 CrossesMains Skip: 8T, 8HTwo PieceNo Shared Holes","Medium, Moderate Swing",2.0,307,307.0
Head,Speed MP,$229.95,229.95,100 sq. in MP,100.0,27 inches,27.0,Strung — 11.2 oz / 318 g Unstrung — 10.6 oz / 300 g,318.0,48-57 Pounds,48.0,57.0,52.5,4 Pts Head Light,-4.0,23mm,23.0,Graphene 360+ / Graphite,64,64.0,Head Hydrosorb Pro,Low,1.0,"16 Mains / 19 CrossesMains Skip: 7T, 9T, 7H, 9HTwo PieceNo Shared Holes","Fast, Long Swing",3.0,329,329.0
Tecnifibre,T-Fight 315,$229.95,229.95,98 sq. in MP,98.0,27 inches,27.0,Strung — 11.7 oz / 332 g Unstrung — 11.1 oz / 315 g,332.0,49-55 Pounds,49.0,55.0,52.0,7 Pts Head Light,-7.0,22.5mm,22.5,Dynacore XTC / Graphite,69,69.0,Xtra Feel Blazon,Low,1.0,"16 Mains / 19 CrossesMains Skip: 7T, 9T, 7H, 9HTwo PieceNo Shared Holes","Fast, Long Swing",3.0,323,323.0
Yonex,EZONE 100,$239,239.0,100 sq. in MP,100.0,27 inches,27.0,Strung — 11.2 oz / 318 g Unstrung — 10.6 oz / 300 g,318.0,45-60 Pounds,45.0,60.0,52.5,4 Pts Head Light,-4.0,23.5/26/22mm,22.0,HM Graphite / M40X with VDM HM Graphite / M40X / VDM,68,68.0,Yonex Synthetic,Medium,2.0,"16 Mains / 19 CrossesMains Skip: 8T,8HTwo PieceNo Shared Holes","Medium, Moderate Swing",2.0,320,320.0
Pro,Pro 100 (300g),$199,199.0,100 sq. in MP,100.0,27 inches,27.0,Strung — 11.2 oz / 318 g Unstrung — 10.6 oz / 300 g,318.0,50-65 Pounds,50.0,65.0,57.5,4 Pts Head Light,-4.0,21mm,21.0,SpiralTech Graphite,55,55.0,Synthetic,Low,1.0,"16 Mains / 19 CrossesMains Skip: 8T,8HTwo PieceNo Shared Holes","Fast, Long Swing",3.0,319,319.0
Wilson,Ultra 100,$159,159.0,100 sq. in MP,100.0,27 inches,27.0,Strung — 11.2 oz / 318 g Unstrung — 10.6 oz / 300 g,318.0,50-60 Pounds,50.0,60.0,55.0,4 Pts Head Light,-4.0,23/26.5/22.5mm,22.5,Carbon Fiber,73,73.0,Wilson Sublime,Medium,2.0,"16 Mains / 19 CrossesMains Skip: 8T, 8HTwo PieceNo Shared Holes","Medium, Moderate Swing",2.0,315,315.0
Wilson,Wilson 100 (305g),$149,149.0,100 sq. in MP,100.0,27 inches,27.0,Strung — 11.2 oz / 318 g Unstrung — 10.7 oz / 303 g,318.0,50-60 Pounds,50.0,60.0,55.0,4 Pts Head Light,-4.0,23/25/23mm,23.0,High Performance Carbon Fiber,72,72.0,Sublime,Medium,2.0,"16 Mains / 19 CrossesMains Skip: 8T, 8HTwo PieceShared Holes: 6T, 7T","Medium, Moderate Swing",2.0,333,333.0
Wilson,Ultra 100,$149,149.0,100 sq. in MP,100.0,27 inches,27.0,Strung — 11.2 oz / 318 g Unstrung — 10.6 oz / 301 g,318.0,50-60 Pounds,50.0,60.0,55.0,4 Pts Head Light,-4.0,23/25/23mm,23.0,High Performance Carbon Fiber,71,71.0,Sublime,Medium,2.0,"18 Mains / 16 CrossesMains Skip: 9T, 9HTwo PieceShared Holes: 7T, 8T","Medium, Moderate Swing",2.0,335,335.0
Dunlop,Dunlop 95 (310g),$219.99,219.99,95 sq. in MP,95.0,27 inches,27.0,Strung — 11.5 oz / 326 g Unstrung — 10.9 oz / 309 g,326.0,45-60 Pounds,45.0,60.0,52.5,7 Pts Head Light,-7.0,20.5mm,20.5,Sonic Core with Infinergy,63,63.0,Dunlop Synthetic,Low,1.0,"16 Mains / 19 CrossesMains Skip: 8T, 8HTwo PieceNo Shared Holes","Fast, Long Swing",3.0,319,319.0
Wilson,Pro Staff RF97,$249,249.0,97 sq. in MP,97.0,27 inches,27.0,Strung — 12.6 oz / 357 g Unstrung — 12.0 oz / 340 g,357.0,50-60 Pounds,50.0,60.0,55.0,9 Pts Head Light,-9.0,21.5 mm,21.5,Braided Graphite / Kevlar,68,68.0,Wilson Leather,Low,1.0,"16 Mains / 19 CrossesMains Skip: 7T, 9T, 7H, 9HTwo PieceNo Shared Holes","Fast, Long Swing",3.0,330,330.0
Babolat,Babolat 107 (285g),$209,209.0,107 sq. in OS,107.0,27.2 inches,27.2,Strung — 10.7 oz / 303 g Unstrung — 10.1 oz / 286 g,303.0,50-59 Pounds,50.0,59.0,54.5,5 Pts Head Light,-5.0,23/26/23mm,23.0,HTR / Graphite,66,66.0,Syntec Pro,Medium,2.0,"16 Mains / 19 CrossesMains Skip: 7T, 9T, 7H, 9HTwo PieceNo Shared Holes","Medium, Moderate Swing",2.0,310,310.0
Dunlop,SX 300,$199.99,199.99,100 sq. in MP,100.0,27 inches,27.0,Strung — 11.2 oz / 318 g Unstrung — 10.6 oz / 300 g,318.0,45-65 Pounds,45.0,65.0,55.0,4 Pts Head Light,-4.0,23mm,23.0,Sonic Core with Infinergy / Graphite,67,67.0,Dunlop Synthetic,Medium,2.0,"16 Mains / 19 CrossesMains Skip: 8T, 8HTwo PieceNo Shared Holes","Medium, Moderate Swing",2.0,322,322.0
Head,Head 102 (280g),$199.95,199.95,102 sq. in MP,102.0,27 inches,27.0,Strung — 10.5 oz / 298 g Unstrung — 9.9 oz / 280 g,298.0,48-57 Pounds,48.0,57.0,52.5,4 Pts Head Light,-4.0,22/25/23mm,23.0,Graphene 360+ / Graphite,60,60.0,Head Hydrosob Pro,Medium,2.0,"16 Mains / 19 CrossesMains Skip: 8T, 8HTwo PieceNo Shared Holes","Medium, Moderate Swing",2.0,310,310.0
Wilson,Wilson 98 (310g),$219,219.0,98 sq. in MP,98.0,27 inches,27.0,Strung — 11.4 oz / 323 g Unstrung — 10.8 oz / 308 g,323.0,50-60 Pounds,50.0,60.0,55.0,4 Pts Head Light,-4.0,20.6 mm,20.6,High Performance Carbon Fiber,62,62.0,Wilson Pro Performance,Low,1.0,"16 Mains / 19 CrossesMains Skip: 8T, 8HTwo PieceNo Shared Holes","Fast, Long Swing",3.0,331,331.0
Wilson,Pro Staff 97,$229,229.0,97 sq. in MP,97.0,27 inches,27.0,Strung — 11.7 oz /332 g Unstrung — 11.1 oz / 315 g,332.0,50-60 Pounds,50.0,60.0,55.0,7 Pts Head Light,-7.0,21.5 mm,21.5,Braided Graphite / Kevlar,65,65.0,Wilson Pro Performance,Low,1.0,"16 Mains / 19 CrossesMains Skip: 7T, 9T, 7H, 9HTwo PieceNo Shared Holes","Fast, Long Swing",3.0,320,320.0
Babolat,Pure Drive Lite,$199,199.0,100 sq. in MP,100.0,27 inches,27.0,Strung — 10.1 oz / 286 g Unstrung — 9.5 oz / 269 g,286.0,50-59 Pounds,50.0,59.0,54.5,4 Pts Head Light,-4.0,23/26/23mm,23.0,HTR / Graphite,70,70.0,Syntec Pro,Medium,2.0,"16 Mains / 19 CrossesMains Skip: 7T, 9T, 7H, 9HTwo PieceNo Shared Holes","Medium, Moderate Swing",2.0,300,300.0
Babolat,Pure Aero Tour,$229,229.0,100 sq. in MP,100.0,27 inches,27.0,Strung — 11.7 oz / 332 g Unstrung — 11.1 oz / 315 g,332.0,50-59 Pounds,50.0,59.0,54.5,6 Pts Head Light,-6.0,23/26/23mm,23.0,HTR / Graphite,72,72.0,Syntec Pro,Low,1.0,"16 Mains / 19 CrossesMains Skip: 7T, 10T, 7H, 10HTwo PieceNo Shared Holes","Fast, Long Swing",3.0,320,320.0
Yonex,EZONE 98,$239,239.0,98 sq. in MP,98.0,27 inches,27.0,Strung — 11.3 oz / 320 g Unstrung — 10.8 oz / 305 g,320.0,45-60 Pounds,45.0,60.0,52.5,6 Pts Head Light,-6.0,23/24/19mm,19.0,HM Graphite / M40X with VDM HM Graphite / M40X / VDM,64,64.0,Yonex Synthetic,Medium,2.0,"16 Mains / 19 CrossesMains Skip: 8T,8HTwo PieceNo Shared Holes","Fast, Long Swing",3.0,317,317.0
Dunlop,Dunlop 105 (295g),$199.99,199.99,105 sq. in OS,105.0,27 inches,27.0,Strung — 11.0 oz / 312 g Unstrung — 10.4 oz / 295 g,312.0,45-65 Pounds,45.0,65.0,55.0,3 Pts Head Light,-3.0,21.5mm,21.5,Sonic Core with Infinergy / Graphite,62,62.0,Dunlop Synthetic,Medium,2.0,"16 Mains / 19 CrossesMains Skip: 8T, 8HTwo PieceNo Shared Holes","Medium, Moderate Swing",2.0,313,313.0
Head,Head 98 (300g),$229.95,229.95,98 sq. in MP,98.0,27 inches,27.0,Strung — 11.2 oz / 318 g Unstrung — 10.6 oz / 300 g,318.0,48-57 Pounds,48.0,57.0,52.5,4 Pts Head Light,-4.0,20/23/21mm,21.0,Graphene 360+ / Graphite,64,64.0,Head Hydrosob Pro,Medium,2.0,"16 Mains / 19 CrossesMains Skip: 8T, 8HTwo PieceNo Shared Holes","Fast, Long Swing",3.0,325,325.0
Head,Extreme MP,$179.95,179.95,100 sq. in MP,100.0,27 inches,27.0,Strung — 11.2 oz / 318 g Unstrung — 10.6 oz / 300 g,318.0,48-57 Pounds,48.0,57.0,52.5,4 Pts Head Light,-4.0,23/26/23mm,23.0,Graphene 360+ / Graphite,63,63.0,Head Hydrosorb Pro,Medium,2.0,"16 Mains / 19 CrossesMains Skip: 8T, 8HTwo PieceNo Shared Holes","Fast, Long Swing",3.0,320,320.0
Head,Speed Pro,$239.95,239.95,100 sq. in MP,100.0,27 inches,27.0,Strung — 11.6 oz / 329 g Unstrung — 10.9 oz / 309 g,329.0,48-57 Pounds,48.0,57.0,52.5,6 Pts Head Light,-6.0,23mm,23.0,Graphene 360+ / Graphite,62,62.0,Head Hydrosorb Pro,Low,1.0,"18 Mains / 20 CrossesMains Skip: 8T, 10T, 8H, 10HTwo PieceNo Shared Holes","Fast, Long Swing",3.0,330,330.0
Dunlop,Dunlop 98 (290g),$199.99,199.99,98 sq. in MP,98.0,27 inches,27.0,Strung — 10.8 oz / 305 g Unstrung — 10.2 oz / 290 g,305.0,45-65 Pounds,45.0,65.0,55.0,3 Pts Head Light,-3.0,21.5mm,21.5,Sonic Core with Infinergy / Graphite,64,64.0,Dunlop Synthetic,Medium,2.0,"16 Mains / 19 CrossesMains Skip: 8T, 8HTwo PieceNo Shared Holes","Medium, Moderate Swing",2.0,315,315.0
Babolat,Babolat 110 (255g),$209,209.0,110 sq. in OS,110.0,27.6 inches,27.6,Strung — 9.6 oz / 272 g Unstrung — 9 oz / 255 g,272.0,50-59 Pounds,50.0,59.0,54.5,3 Pts Head Light,-3.0,24/27/24mm,24.0,HTR / Graphite,70,70.0,Syntec Pro,High,3.0,"16 Mains / 19 CrossesMains Skip: 7T, 9T, 7H, 9HTwo PieceNo Shared Holes","Slow, Compact Swing",1.0,304,304.0
Wilson,Clash 100L,$249,249.0,100 sq. in MP,100.0,27 inches,27.0,Strung — 10.9 oz / 310 g Unstrung — 10.4 oz / 295 g,310.0,48-57 Pounds,48.0,57.0,52.5,7 Pts Head Light,-7.0,24.5 mm,24.5,High Performance Carbon Fiber,49,49.0,Wilson Pro Performance,Medium,2.0,"16 Mains / 19 CrossesMains Skip: 7T, 9T, 7H, 9HTwo PieceNo Shared Holes","Fast, Long Swing",3.0,327,327.0
Yonex,Yonex 95 (310g),$239,239.0,95 sq. in MP,95.0,27 inches,27.0,Strung — 11.5 oz / 326 g Unstrung — 10.9 oz / 310 g,326.0,45-60 Pounds,45.0,60.0,52.5,7 Pts Head Light,-7.0,21.5/22/21mm,21.0,2G-NAMD Flex Force / Graphite / VDM,64,64.0,Yonex Synthetic,Low,1.0,"16 Mains / 20 CrossesMains Skip: 7T, 9T, 7H, 9HTwo PieceNo Shared Holes","Fast, Long Swing",3.0,324,324.0
Pro,Pro 100 (315g),$199,199.0,100 sq. in MP,100.0,27 inches,27.0,Strung — 11.8 oz / 335 g Unstrung — 11.1 oz / 315 g,335.0,50-65 Pounds,50.0,65.0,57.5,7 Pts Head Light,-7.0,21mm,21.0,SpiralTech Graphite,56,56.0,Synthetic,Low,1.0,"16 Mains / 19 CrossesMains Skip: 8T,8HTwo PieceNo Shared Holes","Fast, Long Swing",3.0,325,325.0
Dunlop,Dunlop 100 (285g),$199.99,199.99,100 sq. in MP,100.0,27 inches,27.0,Strung — 10.6 oz / 300 g Unstrung — 10.1 oz / 285 g,300.0,45-65 Pounds,45.0,65.0,55.0,1 Pts Head Light,-1.0,24mm,24.0,Sonic Core with Infinergy / Graphite,70,70.0,Dunlop Synthetic,Medium,2.0,"16 Mains / 19 CrossesMains Skip: 8T, 8HTwo PieceNo Shared Holes","Medium, Moderate Swing",2.0,315,315.0
Head,Head 100 (285g),$89.95,89.95,100 sq. in MP,100.0,27 inches,27.0,Strung — 10.7 oz / 303 g Unstrung — 10.1 oz / 285 g,303.0,48-57 Pounds,48.0,57.0,52.5,1 Pt Head Light,-1.0,22mm,22.0,Graphene XT / Graphite,68,68.0,Hydrosorb Pro,Low,1.0,"16 Mains / 19 CrossesMains Skip: NoneTwo Piece7T & H, 8T & H","Fast, Long Swing",3.0,317,317.0
Volkl,Volkl 100 (275g),$189.99,189.99,100 sq. in MP,100.0,27 inches,27.0,Strung — 10.3 oz / 292 g Unstrung — 9.7 oz / 275 g,292.0,50-60 Pounds,50.0,60.0,55.0,2 Pts Head Light,-2.0,24/26/23mm,23.0,V-Cell/Graphite,69,69.0,Volkl,Medium,2.0,"16 Mains / 19 CrossesMains Skip: 8T,8HTwo PieceNo Shared Holes","Medium, Moderate Swing",2.0,304,304.0
Yonex,EZONE 100,$229,229.0,100 sq. in MP,100.0,27.5 inches,27.5,Strung — 11.1 oz / 315 g Unstrung — 10.6 oz / 300 g,315.0,40-55 Pounds,40.0,55.0,47.5,3 Pts Head Light,-3.0,23.5/26/22mm,22.0,HM Graphite / M40X with VDM HM Graphite / M40X / VDM,70,70.0,Yonex Synthetic,Medium,2.0,"16 Mains / 19 CrossesMains Skip: 8T,8HTwo PieceNo Shared Holes","Medium, Moderate Swing",2.0,335,335.0
Dunlop,SX 300,$199.99,199.99,100 sq. in MP,100.0,27 inches,27.0,Strung — 11.2 oz / 318 g Unstrung — 10.6 oz / 300 g,318.0,45-65 Pounds,45.0,65.0,55.0,4 Pts Head Light,-4.0,23/26/23mm,23.0,Sonic Core with Infinergy & Graphite,65,65.0,Dunlop Viper Dry,Medium,2.0,"16 Mains / 19 CrossesMains Skip: 8T,8HTwo PieceNo Shared Holes","Medium, Moderate Swing",2.0,326,326.0
Head,Radical MP,$99.95,99.95,98 sq. in MP,98.0,27 inches,27.0,Strung — 11.0 oz / 312 g Unstrung — 10.4 oz / 295 g,312.0,48-57 Pounds,48.0,57.0,52.5,6 Pts Head Light,-6.0,20/23/21mm,21.0,Graphene XT / Graphite,64,64.0,Hydrosorb Pro,Low,1.0,"16 Mains / 19 CrossesMains Skip: 8T, 8HTwo PieceNo Shared Holes","Fast, Long Swing",3.0,322,322.0
Volkl,Volkl 100 (310g),$209.99,209.99,100 sq. in MP,100.0,27 inches,27.0,Strung — 11.5 oz / 326 g Unstrung — 10.9 oz / 310 g,326.0,50-60 Pounds,50.0,60.0,55.0,6 Pts Head Light,-6.0,24/26/23mm,23.0,V-Cell/Graphite,68,68.0,Volkl,Low,1.0,"16 Mains / 19 CrossesMains Skip: 8T,8HTwo PieceNo Shared Holes","Fast, Long Swing",3.0,317,317.0
